H1: [605, 1559] to [788, 1751]
G1: [788, 1559] to [971, 1751]
F1: [971, 1559] to [1154, 1751]
E1: [1154, 1559] to [1337, 1751]
D1: [1337, 1559] to [1520, 1751]
C1: [1520, 1559] to [1703, 1751]
B1: [1703, 1559] to [1886, 1751]
A1: [1886, 1559] to [2069, 1751]
H2: [605, 1367] to [788, 1559]
G2: [788, 1367] to [971, 1559]
F2: [971, 1367] to [1154, 1559]
E2: [1154, 1367] to [1337, 1559]
D2: [1337, 1367] to [1520, 1559]
C2: [1520, 1367] to [1703, 1559]
B2: [1703, 1367] to [1886, 1559]
A2: [1886, 1367] to [2069, 1559]
H3: [605, 1175] to [788, 1367]
G3: [788, 1175] to [971, 1367]
F3: [971, 1175] to [1154, 1367]
E3: [1154, 1175] to [1337, 1367]
D3: [1337, 1175] to [1520, 1367]
C3: [1520, 1175] to [1703, 1367]
B3: [1703, 1175] to [1886, 1367]
A3: [1886, 1175] to [2069, 1367]
H4: [605, 983] to [788, 1175]
G4: [788, 983] to [971, 1175]
F4: [971, 983] to [1154, 1175]
E4: [1154, 983] to [1337, 1175]
D4: [1337, 983] to [1520, 1175]
C4: [1520, 983] to [1703, 1175]
B4: [1703, 983] to [1886, 1175]
A4: [1886, 983] to [2069, 1175]
H5: [605, 791] to [788, 983]
G5: [788, 791] to [971, 983]
F5: [971, 791] to [1154, 983]
E5: [1154, 791] to [1337, 983]
D5: [1337, 791] to [1520, 983]
C5: [1520, 791] to [1703, 983]
B5: [1703, 791] to [1886, 983]
A5: [1886, 791] to [2069, 983]
H6: [605, 599] to [788, 791]
G6: [788, 599] to [971, 791]
F6: [971, 599] to [1154, 791]
E6: [1154, 599] to [1337, 791]
D6: [1337, 599] to [1520, 791]
C6: [1520, 599] to [1703, 791]
B6: [1703, 599] to [1886, 791]
A6: [1886, 599] to [2069, 791]
H7: [605, 407] to [788, 599]
G7: [788, 407] to [971, 599]
F7: [971, 407] to [1154, 599]
E7: [1154, 407] to [1337, 599]
D7: [1337, 407] to [1520, 599]
C7: [1520, 407] to [1703, 599]
B7: [1703, 407] to [1886, 599]
A7: [1886, 407] to [2069, 599]
H8: [605, 215] to [788, 407]
G8: [788, 215] to [971, 407]
F8: [971, 215] to [1154, 407]
E8: [1154, 215] to [1337, 407]
D8: [1337, 215] to [1520, 407]
C8: [1520, 215] to [1703, 407]
B8: [1703, 215] to [1886, 407]
A8: [1886, 215] to [2069, 407]
